iter	Passed	Remaining
409	7363	8800
410	7376	8776
411	7385	8748
412	7397	8722
413	7410	8699
414	7419	8671
415	7431	8645
416	7442	8620
417	7453	8594
418	7468	8573
419	7478	8547
420	7488	8520
421	7499	8494
422	7507	8466
423	7518	8440
424	7529	8415
425	7537	8386
426	7548	8361
427	7557	8334
428	7570	8311
429	7581	8286
430	7591	8260
431	7605	8239
432	7617	8215
433	7627	8190
434	7638	8165
435	7647	8138
436	7658	8114
437	7667	8087
438	7681	8066
439	7693	8042
440	7702	8017
441	7713	7992
442	7720	7964
443	7731	7940
444	7742	7916
445	7753	7892
446	7763	7867
447	7772	7842
448	7786	7820
449	7795	7795
450	7806	7771
451	7816	7747
452	7830	7726
453	7840	7701
454	7851	7679
455	7863	7656
456	7874	7633
457	7885	7610
458	7897	7588
459	7910	7566
460	7921	7543
461	7932	7520
462	7942	7496
463	7956	7476
464	7968	7454
465	7979	7431
466	7990	7408
467	8001	7385
468	8012	7363
469	8024	7341
470	8035	7318
471	8046	7295
472	8054	7271
473	8064	7248
474	8075	7225
475	8086	7203
476	8096	7180
477	8106	7157
478	8116	7133
479	81480	8120480	81481	8130481	81482	8141482	81483	8154483	81484	8164484	81485	8179485	81486	8190486	82487	8204	6926
488	8213	6903
489	8225	6882
490	8235	6859
491	8246	6838
492	8259	6819
493	8271	6798
494	8280	6774
495	8291	6753
496	8306	6735
497	8318	6714
498	8328	6693
499	8338	6670
500	8351	6650
501	8360	6628
502	8372	6608
503	8387	6589
504	8397	6568
505	8409	6548
506	8422	6528
507	8433	6507
508	8442	6485
509	8452	6464
510	8463	6442
511	8475	6422
512	8483	6399
513	8496	6380
514	8507	6360
515	8517	6338
516	8529	6318
517	8540	6298
518	8553	6279
519	8562	6257
520	8572	6236
521	8583	6215
522	8597	6197
523	8608	6177
524	8621	6158
525	8636	6140
526	8647	6120
527	8658	6100
528	8670	6080
529	8682	6061
530	8691	6039
531	8701	6019
532	8714	6000
533	8723	5979
534	8736	5960
535	8746	5939
536	8758	5920
537	8771	5901
538	8780	5881
539	8792	5861
540	8802	5841
541	8814	5822
542	8822	5800
543	8831	5779
544	8842	5760
545	8854	5740
546	8864	5720
547	8876	5701
548	8889	5683
549	8904	5666
550	8914	5646
551	8928	5629
552	8940	5609
553	8950	5590
554	8960	5570
555	8971	5550
556	8982	5531
557	8995	5513
558	9006	5494
559	9017	5475
560	9033	5458
561	9041	5438
562	9053	5419
563	9066	5401
564	9079	5383
565	9093	5365
566	9103	5346
567	9116	5328
568	9128	5310
569	9139	5291
570	9154	5274
571	9168	5257
572	9177	5237
573	9187	5218
574	9196	5198
575	9206	5178
576	9218	5160
577	9230	5142
578	9242	5124
579	9254	5106
580	9266	5088
581	9277	5069
582	9287	5049
583	9298	5031
584	9310	5013
585	9322	4995
586	9328	4974
587	9342	4956
588	9352	4938
589	9368	4922
590	9379	4903
591	9393	4887
592	9407	4870
593	9421	4853
594	9432	4834
595	9444	4817
596	9455	4799
597	9467	4781
598	9478	4763
599	9490	4745
600	9499	4726
601	9512	4708
602	9522	4690
603	9534	4672
604	9543	4653
605	9556	4636
606	9568	4618
607	9579	4600
608	9590	4582
609	9605	4566
610	9616	4548
611	9628	4531
612	9642	4514
613	9653	4496
614	9665	4479
615	9683	4464
616	9695	4446
617	9707	4429
618	9719	4412
619	9731	4394
620	9743	4377
621	9756	4360
622	9769	4343
623	9781	4326
624	9791	4308
625	9804	4291
626	9818	4275
627	9830	4257
628	9842	4240
629	9853	4223
630	9867	4206
631	9881	4190
632	9893	4173
633	9909	4157
634	9921	4140
635	9936	4124
636	9947	4106
637	9958	4089
638	9969	4072
639	9982	4055
640	9992	4037
641	10001	4019
642	10014	4002
643	10026	3985
644	10036	3967
645	10047	3950
646	10059	3933
647	10067	3914
648	10080	3898
649	10092	3881
650	10105	3865
651	10120	3849
652	10132	3832
653	10145	3816
654	10155	3798
655	10167	3781
656	10181	3765
657	10192	3748
658	10206	3732
659	10218	3715
660	10229	3698
661	10241	3681
662	10252	3664
663	10265	3648
664	10277	3631
665	10287	3614
666	10300	3598
667	10309	3580
668	10317	3562
669	10327	3545
670	10336	3527
671	10348	3511
672	10360	3494
673	10373	3478
674	10382	3460
675	10392	3443
676	10404	3427
677	10416	3410
678	10428	3394
679	10439	3377
680	10450	3360
681	10463	3344
682	10473	3327
683	10491	3312
684	10500	3295
685	10509	3278
686	10517	3260
687	10529	3244
688	10540	3227
689	10549	3210
690	10559	3193
691	10568	3176
692	10579	3160
693	10591	3143
694	10605	3128
695	10617	3112
696	10629	3095
697	10641	3079
698	10651	3062
699	10660	3045
700	10671	3029
701	10685	3013
702	10695	2997
703	10704	2980
704	10714	2963
705	10726	2947
706	10735	2930
707	10745	2914
708	10756	2897
709	10766	2881
710	10777	2864
711	10785	2847
712	10795	2831
713	10806	2815
714	10815	2798
715	10823	2781
716	10834	2765
717	10846	2749
718	10855	2732
719	10866	2716
720	10873	2699
721	10884	2683
722	10903	2669
723	10915	2653
724	10926	2637
725	10935	2621
726	10948	2605
727	10959	2589
728	10969	2573
729	10980	2556
730	10991	2541
731	11003	2525
732	11015	2509
733	11026	2493
734	11036	2477
735	11049	2462
736	11060	2446
737	11070	2430
738	11085	2415
739	11098	2399
740	11109	2383
741	11119	2367
742	11129	2351
743	11140	2335
744	11152	2320
745	11164	2304
746	11177	2289
747	11190	2274
748	11200	2257
749	11207	2241
750	11219	2225
751	11232	2210
752	11245	2195
753	11258	2180
754	11268	2164
755	11279	2148
756	11291	2132
757	11300	2116
758	11311	2101
759	11325	2086
760	11335	2070
761	11346	2054
762	11356	2039
763	11365	2023
764	11375	2007
765	11388	1992
766	11399	1976
767	11409	1960
76769	11417	19276770	11431	19177771	11444	18977772	11454	18877773	11464	186773	11485	1869
774	11512	1856
775	11524	1841
776	11535	1826
777	11546	1810
778	11556	1795
779	11563	1778
780	11572	1763
781	11583	1747
782	11592	1732
783	11603	1716
784	11613	1701
785	11623	1685
786	11635	1670
787	11645	1655
788	11656	1639
789	11667	1624
790	11677	1609
791	11686	1593
792	11696	1578
793	11706	1562
794	11714	1547
795	11723	15317796	11733	1516797	11761	1503
798	11782	1489
799	11803	1475
800	11823	1461
801	11841	1446
802	11861	1432
803	11884	1419
804	11905	1405
805	11925	1390
806	11947	1376
807	11968	1362
808	11990	1348
809	12011	1334
810	12033	1320
811	12054	1306
812	12070	1291
813	12089	1277
814	12112	1263
815	12134	1249
816	12157	1235
817	12183	1221
818	12207	1207
819	12230	1193
820	12253	1179
821	12277	1165
822	12299	1150
823	12321	1136
824	12341	1121
825	12360	1107
826	12380	1092
827	12403	1078
828	12425	1064
829	12445	1049
830	12463	1034
831	12487	1020
832	12504	1005
833	12527	991
834	12549	976
835	12571	962
836	12588	947
837	12606	932
838	12621	917
839	12636	902
840	12651	887
841	12667	872
842	12684	857
843	12702	842
844	12715	827
845	12722	812
846	12729	796
847	12737	781
848	12744	765
849	12749	749
850	12755	734
851	12762	718
852	12769	703
853	12775	688
854	12781	672
855	12786	657
856	12793	641
857	12798	626
858	12805	611
859	12812	595
860	12818	580
861	12824	565
862	12830	550
863	12835	534
864	12841	519
865	12847	504
866	12852	489
867	12857	474
868	12863	458
869	12869	443
870	12877	428
871	12883	413
872	12891	398
873	12896	383
874	12901	368
875	12908	353
876	12916	338
877	12923	323
878	12929	308
879	12933	293
880	12940	279
881	12946	264
882	12952	249
883	12960	234
884	12968	219
885	12975	205
886	12981	190
887	12986	175
888	12994	160
889	13000	146
890	13006	131
891	13012	116
892	13016	102
893	13021	87
894	13027	72
895	13033	58
896	13041	43
897	13048	29
898	13055	14
899	13060	0
